Channel,Counts
0,2
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,3
12,4
13,11
14,16
15,33
16,44
17,71
18,88
19,98
20,101
21,111
22,77
23,67
24,43
25,35
26,27
27,11
28,10
29,11
30,7
31,3
32,1
33,2
34,6
35,3
36,7
37,4
38,6
39,5
40,3
41,5
42,2
43,2
44,5
45,4
46,3
47,6
48,4
49,3
50,3
51,1
52,3
53,6
54,3
55,4
56,3
57,3
58,4
59,4
60,1
61,4
62,5
63,9
64,3
65,7
66,6
67,10
68,9
69,7
70,9
71,10
72,10
73,10
74,13
75,15
76,7
77,15
78,12
79,19
80,14
81,22
82,17
83,20
84,22
85,20
86,22
87,30
88,28
89,38
90,50
91,53
92,61
93,56
94,56
95,80
96,83
97,76
98,72
99,86
100,83
101,82
102,76
103,78
104,92
105,80
106,81
107,55
108,73
109,79
110,61
111,75
112,78
113,66
114,66
115,79
116,75
117,93
118,105
119,101
120,97
121,121
122,154
123,200
124,237
125,293
126,384
127,441
128,578
129,734
130,802
131,967
132,1116
133,1192
134,1344
135,1503
136,1540
137,1588
138,1589
139,1581
140,1444
141,1280
142,1165
143,1128
144,1031
145,873
146,856
147,726
148,593
149,499
150,431
151,358
152,264
153,229
154,208
155,156
156,115
157,90
158,66
159,44
160,27
161,23
162,17
163,14
164,11
165,8
166,7
167,4
168,2
169,2
170,2
171,1
172,0
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,2
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,2
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,1
